video,group,frame,landmarks
video56.mp4,1,5,"[          0           0      51.864      255.39      103.26      469.14     0.91794      36.502      19.481   0.0033321      42.157      12.291    0.001489      33.926      9.9329   0.0018766      44.412      6.8882   0.0072083      24.597       36.63    0.013245      62.958        32.9     0.54303      24.879
      32.776    0.015715      71.445      168.52     0.91842       51.59      167.99    0.027195      82.648      287.18      0.8882      71.886      287.72    0.071626      21.918      309.09     0.68669    -0.70325      300.54     0.15447      8.8965      474.58     0.21198     -2.9244      467.44    0.026631
      19.261       472.4    0.057253      6.9084      465.81    0.011915]"
video56.mp4,1,11,"[          0           0      82.174      253.09      164.85      471.52     0.94615      57.496       46.99   0.0045164      64.834      41.403   0.0039517      49.027      40.575   0.0030247       71.53       32.06    0.010067      24.026      33.295    0.013665      92.919      27.211     0.63772      0.4486
      30.246    0.025281      115.71      155.86     0.91278      7.0366      164.69    0.023154      135.93      283.72     0.86792      32.088      290.77     0.04892      58.115      327.88     0.80663     -9.2299      323.65     0.31016      89.777      486.65      0.2173      13.743      478.21    0.041967
      91.128      471.79    0.043195      27.993       454.7    0.014258]"
video56.mp4,1,17,"[          0           0      118.78      253.62         238      472.77     0.93717      58.506      54.739   0.0029175      68.482      50.255   0.0033894      47.849      49.483   0.0022606      82.087      42.105   0.0080576      21.692      40.394      0.0107       113.8      25.244     0.53983     -15.005
      39.383    0.025945      152.59       140.9     0.91972     -5.7361      169.73    0.040151      190.42      266.47     0.88692      22.774      298.56    0.081005      117.81      326.35     0.88144      2.5012      341.89     0.50385      195.36      483.46     0.29356      9.9456         494    0.074331
      161.16      463.67    0.046363      29.177      462.43    0.017454]"
video56.mp4,1,23,"[          0           0      155.33      253.25      309.87      471.26     0.95009      83.415      46.443   0.0070963      95.503      40.469    0.005228      69.474      40.299    0.003508      112.41      34.112   0.0080156      31.358      33.095    0.019816       148.8      29.182     0.68715     -8.3716
      44.845    0.075249      203.97       164.8     0.93388     -1.4981      193.32    0.090489      257.98      289.03     0.89373      17.569      323.93     0.13687      175.32      358.96      0.8808      44.118       380.5     0.57521       239.4       481.7     0.19085      81.099      496.85    0.054679
      218.17      458.66    0.028457      66.961      461.91     0.01217]"
video56.mp4,1,29,"[          0           0      181.27      252.78      362.54       470.1      0.9499      165.75      22.596    0.026075      173.66      17.127   0.0066167      148.33      18.318   0.0096151      178.34      23.013    0.010457      97.525      17.081     0.18842      206.22      95.549     0.86084       22.39
      112.05     0.79931      261.18      221.09     0.92826      6.7102      269.59     0.86527      305.86      330.37     0.89449      23.536      392.92     0.84503      237.12      406.39     0.88865      124.92      427.26     0.85855      283.32      495.52    0.098001      166.62      510.22    0.085049
      254.02      473.26    0.015247       147.5      477.84    0.013927]"
video56.mp4,1,35,"[          0           0      195.85      253.87      332.73      475.31     0.91003      243.56      95.264     0.99586      243.75      75.318     0.81671      222.88      73.573     0.99701      239.75      83.891    0.014256      167.13      84.161      0.9089      262.19      185.65     0.97021      111.09
      223.84     0.97151      291.42      265.57     0.88423       53.28      371.28     0.89746      314.27      347.09     0.85377      105.18      416.73     0.87185      254.62      459.01     0.76631      155.96      475.76     0.75819      315.35      496.25     0.11271      218.78      505.22     0.11806
      257.77      471.52    0.030278       178.2      470.42    0.031072]"
video56.mp4,1,41,"[          0           0      232.89      279.67      260.39      426.85     0.92687      271.82       157.5     0.99496      270.38      139.39     0.82547      251.47      141.01     0.99708      268.06      149.25    0.015278      205.28      159.51     0.89356      283.74      223.87     0.95764      174.28
      270.44     0.96513      302.68      280.66     0.84818      125.02       423.7     0.88887      319.33      345.11     0.82676      216.33      442.12     0.86539       269.7      456.19      0.6516      189.45      475.49     0.64979       321.3      460.16    0.089973      217.22      479.18    0.098474
      263.41       459.7    0.030626       194.7      465.35    0.031964]"
video56.mp4,1,47,"[          0           0      278.54      286.11      245.45       414.3      0.9414      294.46      158.48     0.99593      292.58      144.27     0.83834      275.55       146.4     0.99745      291.38      154.25    0.018593      237.05      165.43     0.89203      299.54      236.67     0.96709      219.55
       249.8     0.96662      321.58      307.71     0.88728      192.15      380.89     0.91152      359.95      351.56     0.85723      276.54      468.34     0.88124      260.06      452.83     0.78032      200.21      463.23     0.76908      332.67       490.7     0.13062         285      502.11     0.14165
       279.6      477.46    0.035286      256.78      484.14    0.036637]"
video56.mp4,1,53,"[          0           0      291.42      293.58      253.71      398.67     0.93409      325.88      166.64     0.99457      324.33      154.08     0.79893      307.47      155.32     0.99656      322.17       167.1    0.018604      271.09      175.55      0.9031      321.54      251.52      0.9642      248.66
      258.94     0.96886      324.02      322.27      0.8756      209.02      379.27     0.91924      371.25      351.17     0.84545      291.08      474.24     0.88763      267.54      453.54     0.76739      211.89      465.39     0.76761      374.57      477.71     0.13509      332.83      495.18     0.15708
      304.31      476.85     0.03781       293.4      483.95    0.041258]"
video56.mp4,1,59,"[          0           0      295.83      291.14      241.17      403.39     0.94051      339.34      162.48     0.99518      338.45      149.12      0.8272      320.69       150.4     0.99678      336.49      160.92    0.017329      283.87      169.24     0.89941      323.58      247.86     0.95824      260.64
       255.8     0.96742      316.14      319.09     0.85582      206.87      385.66     0.91182       368.1      351.95     0.82571       290.7      475.02     0.87859      288.37      458.05     0.69652         233      472.78     0.70476      391.46      471.56    0.094301      337.43      492.08     0.11161
      323.83      470.82    0.029359       290.6      478.23     0.03224]"
video56.mp4,2,71,"[          0           0      291.94      289.07      259.71      408.98      0.9385      297.31      160.95     0.99449      295.84      147.51      0.7824      279.02      148.45     0.99658       293.3       158.9    0.017121      240.04      166.56     0.89082      289.79      247.16     0.95983      219.42
      257.61      0.9633      317.96      324.92     0.85971       185.3      399.97     0.89557      379.44      352.11     0.83428      288.12       475.8     0.87031      295.73         460     0.63995      240.19      475.16     0.63433      390.97      472.29    0.076107      329.57      488.95    0.086131
      327.92      469.58    0.024767      289.75      474.18    0.026558]"
video56.mp4,2,77,"[          0           0      293.24      286.58      284.89      414.12     0.94315      279.64      159.16     0.99475      278.59      145.11      0.7924      260.76      145.63     0.99621      277.05      156.68    0.018417      220.39      164.08      0.8876      284.18      248.14     0.96364      200.83
      263.89     0.96147      323.86      326.65     0.86765      181.71      409.71     0.88699       393.3      351.88     0.84115      290.94      479.84     0.86332      286.82      464.02     0.64758      222.15       478.2     0.62695      374.61      476.57    0.079076       297.2      490.83    0.085378
       323.5      471.02    0.025126       281.8      476.16    0.026107]"
video56.mp4,2,83,"[          0           0      298.95      283.15      299.66      420.09     0.94777      274.37      154.25     0.99497      273.72      140.63      0.8141       254.7      141.72     0.99592      273.56      152.91    0.021559       215.5      162.21     0.88708       284.5      245.98     0.96545      196.57
      263.21     0.96193      331.75      329.99     0.86977       181.6      411.85     0.88474      406.03      349.51      0.8405      294.18      480.69     0.85978      286.14      465.01     0.64759      220.51      479.16     0.62315      372.84      477.93    0.078696      293.85      491.63    0.084236
      324.08      471.44    0.024707      286.93      476.59    0.025561]"
video56.mp4,2,89,"[          0           0      303.79      282.93      293.26      420.09       0.947         280      153.53     0.99505      279.17      140.04     0.81744      260.43      141.75     0.99612      279.49       152.1    0.021986         222      162.04     0.88308      291.54      244.64     0.96463      206.11
      259.37     0.96272      330.67      332.33     0.86944       186.4      404.67     0.88935      404.63      349.18     0.84013      293.11      479.93     0.86419      295.59      461.66      0.6496      232.08      475.99     0.63075      386.52         474    0.078602      307.87      490.28    0.085576
      331.91      469.36    0.024779      292.31      475.73    0.025931]"
video56.mp4,2,95,"[          0           0      301.09      280.91      286.35         422     0.94829      286.54      150.97     0.99574       286.5      136.82     0.86328       266.8      138.87     0.99647      288.27      148.25    0.026495      229.53      158.62     0.87261      298.04      239.96     0.96354      213.63
      253.38     0.96327      327.86      331.23     0.86913      179.97      404.36     0.89291      391.61      355.14      0.8463       293.1      461.15     0.87387       299.6      465.47     0.63487      233.71      478.93     0.62067      378.51      468.64    0.074186      290.39      485.36    0.080495
      327.29      463.66    0.024372      273.51       468.3    0.025329]"
video56.mp4,2,101,"[          0           0      302.44       279.4      295.25      421.42     0.94913       292.2      150.69      0.9957      292.51       136.9     0.86628      272.75      138.75     0.99648      294.17      148.11    0.027625      234.21      158.35     0.88031      302.81      240.03     0.96392      215.19
      256.67     0.96458      336.79       330.4     0.86799      178.85      417.07     0.89665      386.83      367.23     0.84896         314      440.02     0.88313      299.01      463.57     0.64048      229.76      478.72     0.62758      386.23      468.91    0.078848      293.07      485.29    0.086793
      334.57      459.38    0.025691      282.62      462.54    0.027006]"
video56.mp4,2,107,"[          0           0      303.49      280.55      302.47      420.43     0.95019       297.4      154.98     0.99575      297.66      140.24     0.86254      278.13      142.28      0.9967      298.46      150.28     0.02633      238.74      160.85     0.87808      306.67      243.49     0.96286      216.16
      259.11     0.96379      341.63      332.83     0.86427         176      422.83      0.8938      385.95      370.39     0.84847      313.99      437.69     0.88264      301.74      468.55     0.61876      228.68      482.64     0.60569      375.93      472.55    0.072542      281.04      485.85    0.079142
      330.39      458.99    0.024176      274.52      462.08    0.025211]"
video56.mp4,2,113,"[          0           0      304.24       280.6      304.28       420.6     0.94964      306.86      158.03     0.99451      305.38      142.09     0.76583      288.41      144.19     0.99649      300.17      150.14    0.017818       245.5      160.25     0.88571      305.68       244.5     0.96018      215.08
      260.51     0.96271      341.07      333.53     0.85935      176.86      423.96     0.89634      389.96      367.79      0.8493      319.27      436.94     0.88947      302.84      468.22     0.59948      230.21      482.74     0.58955      385.26      471.39    0.067655      288.63      484.27    0.075454
      334.41      458.29    0.022875      278.12      460.66    0.024193]"
