video,group,frame,landmarks,Label
video_4.mp4,1,5,"[2.4432e+02 1.5991e+02 9.6509e-01 2.4616e+02 1.4110e+02 4.4883e-02
 2.3889e+02 1.3797e+02 9.8813e-01 1.8830e+02 1.3465e+02 7.7568e-03
 1.9764e+02 1.3019e+02 9.2976e-01 1.3772e+02 2.0092e+02 9.5534e-01
 1.5514e+02 2.2154e+02 9.6436e-01 2.1181e+02 3.4262e+02 8.4159e-01
 2.5204e+02 4.0138e+02 9.2286e-01 3.0768e+02 3.5669e+02 8.2617e-01
 3.3154e+02 3.7713e+02 9.0404e-01 1.1613e+02 4.7623e+02 6.8346e-01
 1.0517e+02 4.8910e+02 6.8725e-01 2.9560e+02 4.8870e+02 9.9014e-02
 2.9406e+02 4.9761e+02 1.2918e-01 2.4491e+02 4.8314e+02 2.5934e-02
 2.2763e+02 4.8752e+02]",
video_4.mp4,1,11,"[2.4387e+02 1.6078e+02 9.6172e-01 2.4576e+02 1.4226e+02 4.1511e-02
 2.3866e+02 1.3932e+02 9.8676e-01 1.8762e+02 1.3544e+02 7.9044e-03
 1.9753e+02 1.3156e+02 9.2836e-01 1.3759e+02 2.0203e+02 9.5476e-01
 1.5468e+02 2.2288e+02 9.6378e-01 2.1246e+02 3.4168e+02 8.4266e-01
 2.5045e+02 4.0119e+02 9.2266e-01 3.0862e+02 3.5809e+02 8.2875e-01
 3.3064e+02 3.8010e+02 9.0494e-01 1.1638e+02 4.7654e+02 6.7711e-01
 1.0604e+02 4.8948e+02 6.8032e-01 2.9831e+02 4.8969e+02 9.4098e-02
 2.9800e+02 4.9933e+02 1.2291e-01 2.4651e+02 4.8315e+02 2.4732e-02
 2.2857e+02 4.8699e+02]",
video_4.mp4,1,17,"[2.4331e+02 1.6188e+02 9.6151e-01 2.4527e+02 1.4365e+02 4.0667e-02
 2.3829e+02 1.4075e+02 9.8678e-01 1.8679e+02 1.3659e+02 7.9839e-03
 1.9727e+02 1.3327e+02 9.2775e-01 1.3733e+02 2.0355e+02 9.5472e-01
 1.5436e+02 2.2593e+02 9.6349e-01 2.1201e+02 3.4073e+02 8.4234e-01
 2.5064e+02 4.0362e+02 9.2111e-01 3.0806e+02 3.5927e+02 8.2868e-01
 3.3063e+02 3.8100e+02 9.0373e-01 1.1755e+02 4.7750e+02 6.6445e-01
 1.0649e+02 4.9087e+02 6.6640e-01 3.0265e+02 4.8890e+02 8.8442e-02
 2.9928e+02 4.9939e+02 1.1536e-01 2.5256e+02 4.8286e+02 2.3601e-02
 2.3007e+02 4.8578e+02]",
video_4.mp4,1,23,"[2.4341e+02 1.6327e+02 9.6096e-01 2.4541e+02 1.4480e+02 4.0197e-02
 2.3842e+02 1.4177e+02 9.8663e-01 1.8691e+02 1.3812e+02 7.9654e-03
 1.9718e+02 1.3460e+02 9.2943e-01 1.3803e+02 2.0570e+02 9.5488e-01
 1.5380e+02 2.2752e+02 9.6405e-01 2.1082e+02 3.4467e+02 8.3671e-01
 2.5029e+02 4.0724e+02 9.1929e-01 3.0681e+02 3.5790e+02 8.2033e-01
 3.3050e+02 3.8101e+02 8.9961e-01 1.1792e+02 4.7826e+02 6.6159e-01
 1.0402e+02 4.9109e+02 6.6512e-01 3.0369e+02 4.8891e+02 9.0112e-02
 2.9451e+02 4.9732e+02 1.1813e-01 2.6334e+02 4.8288e+02 2.4152e-02
 2.4127e+02 4.8482e+02]",
video_4.mp4,1,29,"[2.4346e+02 1.6461e+02 9.6302e-01 2.4548e+02 1.4596e+02 4.2179e-02
 2.3833e+02 1.4272e+02 9.8758e-01 1.8767e+02 1.3987e+02 7.9414e-03
 1.9720e+02 1.3596e+02 9.2720e-01 1.3781e+02 2.0841e+02 9.5516e-01
 1.5345e+02 2.3063e+02 9.6295e-01 2.1123e+02 3.4501e+02 8.4223e-01
 2.5019e+02 4.0753e+02 9.1908e-01 3.0762e+02 3.6114e+02 8.3003e-01
 3.3218e+02 3.8337e+02 9.0278e-01 1.1465e+02 4.8016e+02 6.5341e-01
 1.0242e+02 4.9278e+02 6.5301e-01 2.9894e+02 4.8932e+02 8.6356e-02
 2.9134e+02 4.9855e+02 1.1169e-01 2.5578e+02 4.8271e+02 2.3390e-02
 2.2957e+02 4.8404e+02]",
video_4.mp4,1,35,"[2.4371e+02 1.6605e+02 9.6373e-01 2.4556e+02 1.4730e+02 4.1072e-02
 2.3859e+02 1.4420e+02 9.8811e-01 1.8708e+02 1.4116e+02 7.8702e-03
 1.9741e+02 1.3731e+02 9.2603e-01 1.3916e+02 2.1019e+02 9.5289e-01
 1.5374e+02 2.3192e+02 9.6185e-01 2.1181e+02 3.4656e+02 8.3576e-01
 2.4980e+02 4.0716e+02 9.1776e-01 3.0707e+02 3.6274e+02 8.2610e-01
 3.3219e+02 3.8578e+02 9.0244e-01 1.1842e+02 4.8048e+02 6.3533e-01
 1.0474e+02 4.9297e+02 6.3726e-01 2.9866e+02 4.8974e+02 8.0164e-02
 2.8972e+02 4.9918e+02 1.0429e-01 2.4445e+02 4.8001e+02 2.2278e-02
 2.1772e+02 4.8160e+02]",
video_4.mp4,1,41,"[2.4447e+02 1.6817e+02 9.6699e-01 2.4655e+02 1.4918e+02 4.6115e-02
 2.3919e+02 1.4584e+02 9.8934e-01 1.8926e+02 1.4330e+02 7.8196e-03
 1.9765e+02 1.3832e+02 9.2632e-01 1.4016e+02 2.1216e+02 9.5358e-01
 1.5399e+02 2.3441e+02 9.6187e-01 2.1130e+02 3.4616e+02 8.3845e-01
 2.4981e+02 4.0826e+02 9.1721e-01 3.0493e+02 3.6443e+02 8.2897e-01
 3.3322e+02 3.8876e+02 9.0223e-01 1.2056e+02 4.8075e+02 6.3876e-01
 1.0499e+02 4.9328e+02 6.3857e-01 2.9958e+02 4.9072e+02 8.1530e-02
 2.8771e+02 5.0005e+02 1.0506e-01 2.4315e+02 4.8046e+02 2.2612e-02
 2.1292e+02 4.8198e+02]",
video_4.mp4,1,47,"[2.4514e+02 1.6919e+02 9.6708e-01 2.4715e+02 1.5036e+02 4.7106e-02
 2.3965e+02 1.4732e+02 9.8938e-01 1.9053e+02 1.4436e+02 7.6075e-03
 1.9811e+02 1.3966e+02 9.2584e-01 1.4281e+02 2.1395e+02 9.5400e-01
 1.5429e+02 2.3587e+02 9.6214e-01 2.1246e+02 3.4653e+02 8.3935e-01
 2.4984e+02 4.0947e+02 9.1683e-01 3.0655e+02 3.6627e+02 8.2890e-01
 3.3369e+02 3.8981e+02 9.0139e-01 1.2638e+02 4.8105e+02 6.3503e-01
 1.0777e+02 4.9357e+02 6.3450e-01 3.0152e+02 4.9089e+02 7.9177e-02
 2.8519e+02 5.0007e+02 1.0164e-01 2.4383e+02 4.7976e+02 2.2169e-02
 2.1058e+02 4.8091e+02]",
video_4.mp4,1,53,"[2.4615e+02 1.7025e+02 9.6715e-01 2.4820e+02 1.5149e+02 4.6361e-02
 2.4074e+02 1.4845e+02 9.8958e-01 1.9138e+02 1.4529e+02 7.4448e-03
 1.9890e+02 1.4018e+02 9.2705e-01 1.4402e+02 2.1557e+02 9.5416e-01
 1.5490e+02 2.3662e+02 9.6239e-01 2.1469e+02 3.4925e+02 8.3467e-01
 2.5075e+02 4.0998e+02 9.1470e-01 3.0907e+02 3.6723e+02 8.2145e-01
 3.3409e+02 3.9103e+02 8.9690e-01 1.2574e+02 4.8153e+02 6.2621e-01
 1.0679e+02 4.9338e+02 6.2640e-01 2.9806e+02 4.9013e+02 7.7348e-02
 2.8067e+02 4.9836e+02 9.9466e-02 2.4706e+02 4.7940e+02 2.2021e-02
 2.1353e+02 4.8011e+02]",
video_4.mp4,1,59,"[2.4731e+02 1.7052e+02 9.6728e-01 2.4917e+02 1.5176e+02 4.4169e-02
 2.4193e+02 1.4869e+02 9.8988e-01 1.9158e+02 1.4599e+02 7.1635e-03
 1.9971e+02 1.4061e+02 9.2729e-01 1.4659e+02 2.1670e+02 9.5431e-01
 1.5541e+02 2.3725e+02 9.6303e-01 2.1517e+02 3.4873e+02 8.3584e-01
 2.5076e+02 4.0993e+02 9.1617e-01 3.0664e+02 3.6865e+02 8.2270e-01
 3.3447e+02 3.9171e+02 8.9841e-01 1.3193e+02 4.8126e+02 6.3195e-01
 1.0986e+02 4.9309e+02 6.3375e-01 3.0167e+02 4.9139e+02 7.8466e-02
 2.8077e+02 4.9976e+02 1.0107e-01 2.4926e+02 4.7995e+02 2.2246e-02
 2.1199e+02 4.8057e+02]",
