video,group,frame,landmarks
single_video_good.mp4,1,5,"[     369.13      178.57     0.99334      386.59       155.5     0.99628      362.24      157.88     0.91866      439.54       155.7     0.98729      361.86      159.75     0.29852      490.12      266.99     0.95387      346.03      254.41     0.96603      465.69      414.12     0.88247      301.46      351.66
     0.88992      353.07      432.19      0.8886      267.51      384.56      0.8852      453.42       484.5      0.6004      361.03      473.71     0.63589      400.14      492.25    0.078728      290.45      482.73    0.078919      403.15      470.67    0.024374      338.14      463.75    0.024677]"
single_video_good.mp4,1,11,"[     369.27      178.41     0.99328      386.85      155.33     0.99617      362.54      157.51     0.91979      439.87      155.85     0.98674       362.3      159.45     0.29702      490.34      266.69     0.95405      346.78      253.09     0.96547      466.14      414.08     0.88184      301.42      347.77
      0.8876       353.9      431.65     0.88693      272.13      380.59     0.88233       453.3      484.29     0.60221      360.69      472.71      0.6358      397.53       491.1    0.079806      277.77      480.38    0.079111      403.92      471.11      0.0247      333.85      464.44    0.024781]"
single_video_good.mp4,1,17,"[     369.46      178.45     0.99348      387.15      155.66     0.99674       362.1      158.18      0.9289      439.25      155.74     0.98871      362.09      159.42     0.31283      490.57      265.46      0.9643      347.93      250.66     0.96263      466.38      413.35     0.90039      297.92      343.67
     0.86444      353.63      430.44     0.88418      276.02      383.55     0.84952      454.41      483.67     0.64237      363.71      474.28     0.64486      418.53      497.12    0.083578      339.13      489.78    0.076136      426.34      473.04    0.025392      368.42      466.61    0.024041]"
single_video_good.mp4,1,23,"[     369.42      178.48     0.99335       387.2      156.12     0.99664      362.29      158.05     0.92602      439.62      155.72     0.98828      362.32      158.36     0.31256      490.84      264.14     0.96452      347.88      249.25     0.96319      466.62      412.82     0.90126      298.49       343.5
     0.86641      353.36      430.13     0.88464      275.98      384.91     0.85051      455.45         483     0.64704      364.79      473.64     0.65041      419.64      497.56    0.084478      341.25      490.13    0.077214      426.08      473.69    0.025457      369.02      467.45    0.024172]"
single_video_good.mp4,1,29,"[     370.17      178.07     0.99398      388.29      154.94     0.99692      363.04      156.93      0.9322      440.72      155.21     0.98862      362.77       157.8      0.3183      491.88         264     0.96476      348.44      248.42     0.96347       467.3      413.02     0.90072      300.47      343.34
     0.86606      354.56       430.2     0.88371       277.5      383.59      0.8496      455.53      482.59     0.64777      364.91      472.91      0.6511       420.2      497.11    0.085366      340.95       489.3    0.078078      426.57      473.59    0.025738      368.53      466.98    0.024451]"
single_video_good.mp4,1,35,"[     372.56      178.83     0.99359       390.5       155.6      0.9963      365.48       157.3      0.9294      443.25       155.8     0.98634      364.19      158.42     0.31218      493.45      263.44     0.95382      347.86      249.03     0.96606      469.69       413.1     0.87978      305.35      351.73
     0.88904      355.27      431.04     0.88388      271.65      385.78     0.88194      456.02      484.06     0.60034      362.21      472.89     0.63577      405.68       493.4    0.076267      297.55      484.89    0.076924      406.93      470.74     0.02361      343.45      463.62       0.024]"
single_video_good.mp4,1,41,"[     373.89      178.45      0.9943      392.49      155.06     0.99664      366.35      156.53      0.9413       444.5      155.72     0.98682      363.81       157.9     0.30993      495.04      262.43     0.95321      348.57      249.02     0.96652       467.1      408.93     0.88215       302.3      354.76
      0.8921      351.29       427.7     0.88891       257.3      392.08     0.88596      457.97         486     0.59228      362.52      474.79     0.63023      406.42      490.67     0.07475      289.84      480.96    0.075424      403.57      469.27    0.023343      333.27      462.42    0.023744]"
single_video_good.mp4,1,47,"[     374.78      177.19     0.99476      393.92      153.85     0.99678      367.38      154.71     0.94701      446.03      155.02     0.98638      364.78      156.11     0.30901      496.18      263.25     0.95347      349.96      248.48     0.96673      466.76       408.2     0.88242      303.02      353.21
     0.89168      349.98      425.29     0.88927      256.54      391.39     0.88532      459.49      487.01     0.59417      364.15      475.09     0.63211      405.84      491.63    0.075294      284.62      481.31    0.075636      405.63      469.92    0.023401      332.41      463.05    0.023722]"
single_video_good.mp4,1,53,"[     377.58      177.42     0.99393      396.15      153.92     0.99631      370.88      154.95       0.928      448.47      154.81     0.98589      369.15      156.61     0.30484      497.96      263.45      0.9525      351.53      249.31     0.96662      471.05      407.46     0.88122      301.41      350.37
      0.8922       355.5      427.58     0.88889      250.42      387.16     0.88603      460.83      485.34     0.59734      365.64      473.47       0.637      405.35      491.35    0.076984      285.83      480.69    0.077583      407.97      470.36    0.023744      335.05      463.68    0.024126]"
single_video_good.mp4,1,59,"[     379.85      177.65     0.99359       398.4      155.22     0.99594       372.9      155.81     0.93156      450.27      155.44      0.9842      370.67      156.38     0.31573      499.19      263.26     0.95177      352.37       249.6     0.96666      475.17      409.07      0.8771      302.11      350.24
     0.89209      359.73       429.5     0.88486      252.04       386.1     0.88594      462.37      485.45     0.59041      367.71      474.51     0.63216      411.38      493.15    0.073182      306.14      485.05    0.075081      410.45      469.55    0.022824      344.02      463.12    0.023489]"
single_video_good.mp4,2,71,"[      381.3       174.9     0.99512      400.32      152.54     0.99703      374.46      153.39      0.9448      451.46      153.97      0.9861      372.73      154.38     0.33162      500.39      262.63     0.96362      356.45      246.83     0.96598      475.59      409.29     0.89759      310.57      343.78
     0.87385      361.21      428.95     0.88422      272.17      382.22     0.85603      464.42      485.58     0.63269      371.55      475.56     0.64543      424.52      495.82    0.080412       331.4      487.24    0.075076      430.09      473.77    0.024554      360.63      466.04    0.023629]"
single_video_good.mp4,2,77,"[      377.6       176.7     0.99289      396.23      153.94     0.99564      372.29       154.3     0.90641      449.09      156.87     0.98519       373.3      156.34     0.31008      501.23      263.54     0.95155      356.81      247.16     0.96528      476.57      409.67     0.87597      313.15      343.48
     0.89076      361.39      430.92     0.88244      281.08      382.43       0.886      464.14      484.24     0.60588      370.97      472.81     0.64443       417.4      493.97    0.077361      319.48      487.81    0.079722       416.2      469.83    0.023905      354.04      463.23    0.024681]"
