video,group,frame,landmarks
single_video_ambiguous.mp4,1,5,"[     302.79      185.12     0.98872      311.85      162.25     0.99659      297.36      164.45     0.26558      368.13      147.85     0.99029      324.95      152.66     0.12999      424.36      247.43      0.9551      376.63      229.41     0.95638      397.84      435.64     0.90168      326.19      330.74
     0.85812      264.94      406.03       0.898      233.49      357.37     0.85109      437.17      487.14     0.57218       392.1      468.69     0.59651      295.01      483.47     0.07814      261.03      466.97    0.068724      338.56      468.19    0.022748      308.08      458.64    0.021303]"
single_video_ambiguous.mp4,1,11,"[     302.69         185     0.98942      312.24      162.15     0.99676      297.12      164.38     0.29935      368.98      148.08     0.98998      323.36      153.19     0.13093      423.73      247.54     0.95596      374.62      229.72     0.95698      398.07      434.89     0.90344      323.85      329.71
     0.85982      262.95      409.54     0.89917       235.4      354.63     0.85258      436.17      486.66     0.58465      390.51      467.78     0.60804      285.73      483.48    0.082839      255.07      465.89    0.072432      331.48      468.93    0.023869       304.1      459.39    0.022254]"
single_video_ambiguous.mp4,1,17,"[     304.15      184.76     0.99109      314.54      161.12     0.99722      297.94      163.36     0.38662      370.94      145.68     0.99033      320.45      151.41     0.13765      424.23      246.55      0.9575      375.59      228.84       0.958       398.9      433.67     0.90319      326.05      331.86
     0.85817      262.58      412.38     0.89706      234.76      355.42     0.84844      435.54      486.26     0.58731      390.25      466.85     0.60919      279.44      481.34    0.086707       247.3      461.39    0.075203      325.49      468.32    0.025249      299.19      458.32     0.02342]"
single_video_ambiguous.mp4,1,23,"[     308.81      183.83     0.99254      320.88      159.67     0.99736      301.05      162.01     0.58182      376.51      142.39     0.98837      315.75      149.83     0.14976      427.23         246     0.96099       375.5      227.72     0.96072      403.02      436.05     0.90792      329.77      333.92
     0.86411      272.93      415.05     0.90024      239.33      356.45     0.85083      433.74      485.22     0.64192      385.41      462.62     0.66092      247.47      485.77     0.11474      231.49      460.41    0.098318      315.02      477.39    0.031328      291.85      465.56    0.028797]"
single_video_ambiguous.mp4,1,29,"[      312.6      176.07     0.99429      326.19      151.58      0.9977      304.28      154.52     0.73049      381.02      136.43     0.98767      314.31      145.46     0.16503      430.05      244.87     0.96227      374.75       227.6     0.96237      404.99      437.44     0.90561      331.06      334.69
     0.86407         274      414.49     0.89719      239.86      355.32     0.84912      432.23      485.98     0.63538      382.37      463.48     0.65515      245.09      483.83     0.11277      230.39      457.51    0.097031      313.13      476.84    0.031181      288.26       464.6    0.028727]"
single_video_ambiguous.mp4,1,35,"[     314.23      160.27      0.9969      327.89      134.54     0.99807      301.62      144.66     0.94416      379.89         123     0.98123      303.79      145.79     0.19708      431.22      241.69     0.96624      366.44      227.56     0.96536       407.2      440.87     0.90758      328.38      332.94
     0.86584      277.17      411.71     0.89492      240.39      355.96     0.84489       429.5      488.08     0.66848      376.91      464.86     0.68441      225.43      488.05     0.12904      220.85      459.24     0.10995      304.52      482.11    0.034361      283.59      468.49      0.0314]"
single_video_ambiguous.mp4,1,41,"[     307.17      164.01     0.99721      320.75      136.92     0.99839      294.35       148.9     0.95464      375.14      125.15     0.98416      296.82       151.7     0.19367      430.71       243.2     0.96833       354.7      230.09     0.96596      406.94      447.72     0.91418         324      333.39
     0.86893      278.06       410.2     0.90121      244.66      357.28     0.84749      429.38      487.73     0.72194      369.47      461.52     0.73249      210.06       488.1     0.17837      204.88       452.2        0.15      291.15      489.18    0.045542      268.28      475.95    0.041183]"
single_video_ambiguous.mp4,1,47,"[     303.57      162.33     0.99662      317.65      135.31     0.99807      291.34      146.68     0.94377      372.39      125.83     0.98333      294.39      149.98     0.18147      426.89      246.09     0.96695      352.58      228.83     0.96368      408.44      455.58     0.91224      324.55      337.16
      0.8631      285.27      401.01     0.90365      243.23      356.07     0.84685      429.99      489.89     0.69685      368.59      463.31     0.70612      207.91      487.69     0.15774      196.67      458.09     0.13049      296.28      489.58    0.039921      267.15      473.09    0.035554]"
single_video_ambiguous.mp4,1,53,"[      292.6      159.61     0.99664      306.32      132.59     0.99828       282.2      141.97     0.89409       362.4      121.83     0.98601      289.42      142.31     0.17186      422.16       238.4      0.9637      346.79      224.95     0.96175      408.37         446     0.90412      322.62      332.58
      0.8551      266.38      407.58     0.89484      235.76      358.45     0.84149       436.6      490.52     0.59811      373.61      471.52     0.61405      281.97      486.41     0.08631      233.33      467.11    0.074087       340.2      474.66    0.024527       295.9      460.22    0.022549]"
single_video_ambiguous.mp4,1,59,"[     279.99      164.56     0.99724      294.75      136.25     0.99866       269.1      144.62     0.90462      350.77      123.56      0.9863      274.66      142.49      0.1728      418.33      232.97     0.96885      340.35      221.53     0.96368      407.12      441.29     0.91704      320.49       330.1
     0.86437      272.65      426.45     0.89933      237.49      356.89     0.84239      431.24      485.59     0.72004      367.79      463.15     0.72608      225.73      492.82     0.15954      218.61      467.59     0.13317      295.44      483.45    0.040482      285.64      469.74    0.036531]"
single_video_ambiguous.mp4,2,71,"[     287.15       161.5     0.99708      300.38      133.61     0.99857      276.42      142.13      0.8679      358.16      117.24     0.98564       284.5      137.14     0.15244      425.97      234.57     0.96675       348.5       217.5     0.96231      408.39      441.09     0.91392      325.98      328.98
     0.86289      268.47      434.85     0.89946      253.57       339.1     0.84678      432.31      482.98      0.7003       369.7      457.92     0.70923      217.15      488.47      0.1513      205.54       459.1     0.12628      293.34      486.12    0.038501      277.13      471.81    0.034739]"
single_video_ambiguous.mp4,2,77,"[     309.88      155.24     0.99317      322.55      125.92     0.99723      301.33      134.32      0.7958      379.25      111.76     0.98493      309.61      131.19     0.14603      448.66      242.58     0.95966      349.19      219.86     0.95946      416.07      445.98     0.89346       306.5      325.66
     0.85772      283.47      394.24     0.89687      252.44      339.74     0.85602      435.73      485.21     0.60877      359.83      460.23     0.63202      242.49      480.87     0.10996      204.62      456.71    0.095499      332.61      470.66    0.030806      282.59      453.62    0.028425]"
single_video_ambiguous.mp4,2,83,"[     325.92      151.14     0.99339      339.13      122.74     0.99743      318.58      129.11     0.75189      396.23      110.32     0.98578      327.43      126.17     0.15803      458.17         243      0.9565      364.78      218.48     0.95761      416.91      441.73     0.88597      325.92      324.24
     0.85272      291.95      376.66     0.89408      270.41      343.22     0.85365      435.38      485.96     0.56995      364.56      461.59     0.59336      280.77      476.32    0.090421      236.83      456.93     0.08035      360.37      464.34     0.02673      309.31      446.76    0.025075]"
single_video_ambiguous.mp4,2,89,"[      333.1       153.4     0.99271      346.23      125.83     0.99721      325.44      131.76     0.75923      402.85       112.9     0.98537      332.99      127.88     0.16451      462.02      243.56      0.9554      367.08      219.41      0.9574      418.12      437.69     0.88366      320.58      326.28
     0.85257      292.35      374.03     0.89243      270.79      341.79     0.85311      433.48      485.61     0.57376      362.27      461.09     0.59741      276.57      475.58     0.09349      236.54      454.57    0.083248      359.27      464.16    0.027758      306.57      447.63    0.026066]"
single_video_ambiguous.mp4,2,95,"[     340.63      167.07     0.99108      352.16      140.05     0.99728      329.93      146.45     0.80126      407.58      118.47     0.98905      333.32      135.95     0.17128      463.92      244.04       0.951      367.38      220.96     0.95457      418.52      434.73     0.88013      319.66      328.91
     0.85283      292.21      376.21     0.89095      268.97      348.09     0.85618      438.48      486.61     0.55473      365.36      464.46     0.58051      311.34      477.08    0.083021      253.81      458.82    0.075471      376.48      463.05    0.025415         319      444.96     0.02425]"
single_video_ambiguous.mp4,2,101,"[     342.55      165.58     0.99141      354.78      139.07     0.99708      331.51      145.21     0.84665      409.33      118.81     0.98785      333.49      135.55     0.18971      465.39      244.27     0.95131      365.22      226.03     0.95414      422.58      433.51     0.87096      305.19      345.48
     0.83891      300.47      375.36     0.87911      264.82       359.8     0.83903      438.93       486.5     0.53645      363.89      467.62     0.55684      317.69      482.96    0.076308      261.84      466.64    0.068557      377.19      462.52     0.02383      322.12       444.9     0.02256]"
single_video_ambiguous.mp4,2,107,"[     340.99      162.73     0.99431      354.05       137.5     0.99683      331.69      142.29     0.82463      408.44      120.74     0.98218         336      133.73     0.19991      462.72      245.95     0.95523      365.86      228.67     0.95962      422.92       438.7      0.8854      310.15      358.48
      0.8544      302.71      380.16      0.8921      259.05      358.04     0.85309      440.15      491.03     0.55074      368.24      473.49     0.57316      323.19      486.46    0.074139      261.85      470.56    0.066766      378.69      471.88    0.022384      323.01      457.43    0.021166]"
single_video_ambiguous.mp4,2,113,"[     336.15      154.28     0.99003      349.08      128.09      0.9963      329.55      133.35     0.68949      403.55      117.91     0.98521      338.24       130.5     0.17203      459.91       248.4     0.95282      366.68      228.83     0.95662      424.44      445.34     0.86638      315.26      364.63
     0.83631      291.38      388.65     0.87315      267.12      352.68     0.83516      438.96      490.45     0.53802      368.16      469.89     0.56201      281.75      480.37    0.087936      240.54      463.09    0.078015      352.45      468.63    0.026265      317.49      452.98    0.024612]"
single_video_ambiguous.mp4,2,119,"[     329.93      134.96     0.99512      345.02      110.68     0.99685       325.4      116.52     0.78563      400.27      110.84     0.98229      337.55       121.3     0.18553      455.88      250.93     0.95926       357.6      228.48     0.96433      424.78       451.7     0.87931      314.16      364.02
     0.86224      292.24      419.13     0.88091      277.28      326.73     0.85938      433.97      490.16     0.55914      362.99      468.79     0.59012      265.35      491.27    0.082101      226.31      470.61    0.074284      343.75      477.88    0.023371       305.4      468.16    0.021988]"
single_video_ambiguous.mp4,2,125,"[     329.85       126.8     0.99332      346.83      101.58     0.99548      325.94      108.04     0.81565       402.4      108.13      0.9806       337.8      117.04     0.20037      456.18      250.93     0.96392      347.29      220.33     0.96688       431.7      450.16     0.89272      305.83      377.46
     0.87273      299.62      433.51     0.88934       306.2      296.83     0.86862      435.67      485.69     0.65818      359.42      463.08     0.67912      247.58      497.04     0.13036       210.6      473.59     0.11501      340.36      486.29    0.033114      300.23      480.31    0.030507]"
single_video_ambiguous.mp4,3,137,"[     330.42      134.14     0.99375      346.76      108.84      0.9957      326.26       116.2     0.81124      402.47      113.58     0.97876      339.06       124.7     0.19236      457.56      252.73     0.95632      353.48      228.53     0.96102      433.57       453.6     0.87046      307.56       380.5
     0.85815      303.07      445.94     0.87556      320.85      274.41      0.8651      436.11      488.94     0.50833      360.71      470.82     0.53523      288.35      491.38    0.066046      235.74      473.94    0.060456      350.66      473.04    0.019837      301.24      468.09    0.018738]"
single_video_ambiguous.mp4,3,143,"[     330.21       136.6     0.99299      346.35      111.26     0.99543      326.41      118.47     0.76849      402.31      116.41     0.97953      340.08      127.19     0.18187      458.33      253.59     0.95572      354.82      230.08     0.96039      435.46      455.49     0.87029      309.47      382.03
     0.85762      304.15      448.33     0.87534      320.53      279.13     0.86375      435.77      488.96     0.51788      360.64       469.9     0.54561      269.35      493.54    0.069885      221.61      474.51    0.063387      345.97      474.09    0.020564      296.85      470.21    0.019289]"
single_video_ambiguous.mp4,3,149,"[      331.5      136.94     0.99366       348.2      111.14     0.99598      328.48      117.94     0.75719      404.05      118.91      0.9818       342.8      128.15     0.18792      461.45      254.95     0.95534      356.28      231.65     0.96015      440.07      454.79     0.86564       310.9      382.58
     0.85371      304.56      447.84     0.86987      322.88      277.14      0.8592      435.69      487.56     0.50541      360.45      469.12     0.53262      284.89      491.25    0.067049      229.37      472.34    0.061312      351.91      473.64    0.020185      302.78      469.24    0.019066]"
single_video_ambiguous.mp4,3,155,"[      347.9       91.87     0.98532      371.73      79.779     0.98925      349.97      79.946     0.75833      418.61       113.4      0.9871      358.53      105.48      0.2158      459.22      252.94     0.94814      358.26      224.81      0.9613      440.39      447.65     0.83963       292.7       350.2
     0.86518      308.04      454.96     0.85073      320.92      230.05     0.87872      446.03      484.36     0.47178         377      467.31     0.52168      333.79      480.73    0.058957       267.7      467.59    0.059309      358.98      462.54    0.018141      314.89       459.9    0.018242]"
single_video_ambiguous.mp4,3,161,"[     368.47      102.14     0.98754      391.33      89.236     0.99208      371.22      88.336     0.70974      439.54      119.35     0.98653       381.4      109.71     0.22421      477.81      256.75     0.94435      380.58       231.1     0.96166      449.09      445.12     0.83002      307.88      347.85
     0.87077      318.96      459.88     0.84436      338.41      227.75     0.88272      454.89      483.43       0.479      388.51      467.41     0.53625      361.83      468.41    0.065372      278.44      464.42    0.068099       377.4      461.92    0.020526      325.04      459.96    0.021051]"
single_video_ambiguous.mp4,3,167,"[      371.4      120.48     0.98793      393.16      105.01     0.99326      373.98      104.32      0.6263      442.95      130.59     0.98809      388.45       121.8     0.19739      487.03      264.53     0.95806      388.62      235.15     0.96034      455.25      452.75     0.87539      317.78      358.07
     0.85612      321.89      461.81      0.8688       350.7      241.13     0.85718       457.2      486.85     0.54933      385.44      466.94     0.57458      330.59      463.25    0.087929      250.12      455.55    0.079794      412.29      476.29    0.026632      331.13         475    0.024748]"
single_video_ambiguous.mp4,3,173,"[     358.03      126.76     0.98479      378.65      110.67     0.99263      361.58      110.64     0.45511      428.62      136.02     0.98973      380.68      128.89     0.18015      476.91      260.12     0.95686      383.25      240.51     0.95883      452.96      450.52     0.87198      315.17       372.5
     0.84664      319.89      464.04     0.86255      341.46      247.35     0.84748      462.12      487.48     0.52345      394.13      470.71     0.54708      320.21      473.17    0.077812      252.95      459.87    0.069484      396.35      474.34    0.023619      330.82      475.23    0.021852]"
single_video_ambiguous.mp4,3,179,"[     342.56      133.62     0.98754      362.32      116.27     0.99307      346.41      116.42     0.45541      412.85      140.22     0.98751      367.77      133.42     0.17454       464.8      260.24     0.94753      370.44      236.83     0.95969      449.81      448.06     0.86313      313.41      378.81
     0.87024      316.81      471.58     0.87197       330.1      259.22     0.87869      463.67      486.19     0.51127       394.3      467.42     0.55476      309.48      486.77    0.074165      247.87       466.1    0.070834      347.85      469.53    0.022069         316      472.08    0.021514]"
single_video_ambiguous.mp4,3,185,"[     339.05       136.5     0.98878      359.32      118.29     0.99345      342.11      118.32     0.49957      409.66       141.3     0.98661      361.99      134.82     0.18358      458.41      260.46      0.9458      370.57      238.68     0.95958      430.04      450.28     0.85482      312.09      379.85
     0.86755      295.56      479.96     0.86243      329.65      258.47     0.87667      464.19      492.34     0.45835      397.53      476.45     0.50678      324.35      491.35    0.055811      261.24      481.19    0.054589      347.55      469.01    0.017139      304.79      475.99    0.016884]"
single_video_ambiguous.mp4,3,191,"[      344.5      142.17     0.99068      366.03      124.76     0.99427      346.51       124.1     0.66492      416.94      147.98     0.98621      361.41      139.83     0.19544      460.24      266.47     0.94632      374.55      244.51     0.96055      427.08      449.49     0.85654      314.21      381.58
     0.86975      292.44      481.33     0.86549      329.91      269.17     0.87979      467.49      493.92     0.46369      401.43         478     0.51281      330.17      492.76    0.057504      262.31      483.15     0.05635      348.87      470.31     0.01754       305.8      476.78    0.017301]"
single_video_ambiguous.mp4,4,203,"[      348.1      174.74     0.98821      367.82      154.43     0.99345      348.16      150.98     0.64019      422.58      162.62     0.97678      363.91      151.31     0.17767      473.32      269.56     0.94128      387.61      246.27     0.95694      428.58      450.98     0.85124      315.05      380.96
     0.86859      291.39      479.69     0.86526      346.09      264.53     0.88119      471.77       494.3     0.44705      405.91      477.28     0.49789      335.07      492.53     0.05527      266.72      482.31    0.054714      344.81      471.17    0.017227      304.74      476.98    0.017125]"
single_video_ambiguous.mp4,4,209,"[     350.69      178.38     0.98741      369.52      158.37     0.99309      349.67      155.29       0.651      424.59      163.67      0.9751      363.96      154.22     0.18109      476.49      268.49     0.94225      388.76      248.49     0.95673      432.23      451.49     0.85195      316.13      380.13
     0.86706      292.56      478.52     0.86491      350.87      263.67     0.87898      471.57      494.05     0.44693      404.14      477.35     0.49464      335.56      491.16    0.055261      267.91       480.7     0.05435      343.73      471.29    0.017401      304.72      475.74    0.017232]"
single_video_ambiguous.mp4,4,215,"[     353.13      177.62     0.98686      372.09      157.78     0.99288      352.16      154.76     0.64339      426.97      163.78     0.97622      366.54      154.31     0.18088      478.59      268.78     0.94259      390.77      248.71     0.95694      433.01      451.69      0.8532      317.16      381.95
     0.86765      292.03      477.11     0.86746      353.73      264.35     0.88022      471.79      494.22     0.44594      403.96      477.19     0.49302      331.14      489.41    0.055857      265.92      479.25    0.054749      345.62      470.26    0.017614       305.8      475.39     0.01739]"
single_video_ambiguous.mp4,4,221,"[     355.16      182.63     0.98459         374      164.89      0.9903      354.18      159.41     0.63126      428.93      169.23     0.96096      368.68       155.1     0.17229      482.38      267.57     0.94093      394.77      245.31     0.95802      434.79      446.78     0.85553      320.97      379.54
      0.8761      296.93       473.5      0.8709      355.26      263.79     0.88462      474.37      493.44     0.47777       405.8      474.73     0.53239      305.68      491.56    0.064614      248.57      481.07    0.063713      335.14      471.75    0.019377      300.91      477.75    0.019179]"
single_video_ambiguous.mp4,4,227,"[      356.9      186.36     0.98838      377.77      170.09     0.99106      355.13      162.46     0.80257      432.59       174.4     0.94423      364.62      155.87     0.19967      483.78      267.09     0.94533      393.79       247.1     0.95979      434.16      449.27     0.85352      320.28      380.04
     0.87159      297.62      474.12     0.86158      355.63      263.16     0.87608      476.84       494.2     0.47981      407.91      476.08     0.52958         323      492.77    0.063669      260.78      481.94    0.062527      341.96      472.52    0.019509      307.41       477.4    0.019284]"
