video,group,frame,landmarks
single_video_bad.mp4,1,5,"[     526.79       181.5     0.99728      562.73      155.43     0.94337      514.29       128.4     0.99829      584.49      141.83    0.025293      453.62      70.837     0.85146      552.05      184.62     0.88611      316.26      125.21     0.95843      591.88      285.55      0.6707      148.97      331.52
      0.8967       490.4      318.65     0.72453      360.83      339.05     0.89371       437.1      454.01     0.48161      269.13      446.51     0.56573      508.09      467.44    0.036641      321.65      475.25    0.055277      423.67      411.34    0.013583      308.97      417.52    0.017417]"
single_video_bad.mp4,1,11,"[     536.97       204.5     0.99336      574.29      184.14     0.90266      525.26      155.35     0.99672      595.61      170.42     0.02733      471.81      91.872     0.85539      541.54      211.33     0.85003      339.58      140.81      0.9571      615.13      282.77     0.57313      145.55      304.07
     0.89548      521.08       311.9     0.63516      331.33       351.5     0.88548      442.42      460.79      0.4476      289.01      450.35     0.56424      510.56      473.38    0.032902      327.65      479.37     0.05499      416.85      409.74     0.01266      319.38      417.93    0.017349]"
single_video_bad.mp4,1,17,"[     549.38      228.77     0.99003      586.67      204.92      0.8192      541.26      177.18     0.99559      608.65      179.51    0.017999       492.5      108.25     0.82327       551.8      206.99     0.76329      342.98      157.29     0.94577      632.38      279.25     0.46852      155.85      310.22
     0.89308       534.7      314.24     0.58227      332.31      359.92     0.89197      453.43      462.13     0.35675       293.9      454.96     0.50147      511.33      465.57      0.0251      320.77      473.97    0.046395      435.23      406.57    0.010596      310.83      415.48    0.015385]"
single_video_bad.mp4,1,23,"[     550.26      225.78     0.99073       588.3      200.88     0.84165      541.38      174.08     0.99546      613.39      174.39    0.021986      495.13      104.02     0.82121      555.76      205.18     0.75337      348.92       153.7     0.94576      634.05      277.44     0.43479      156.57      307.96
     0.89112      530.33      314.08      0.5486      346.15      355.98     0.88783      446.36      462.13     0.34085      289.06      453.53     0.49003      507.55      463.24    0.024252      324.38      470.06     0.04617      430.33      405.07    0.010488      314.14      413.57     0.01551]"
single_video_bad.mp4,1,29,"[     553.13       229.2      0.9912      588.93      201.21     0.71908       546.3      175.37     0.99714      615.75      173.13   0.0086068      500.02      104.73     0.78485      576.02       205.3     0.72678      346.44      154.59     0.92775      640.01      287.69     0.43732      176.23      317.85
     0.86848      531.96      316.09     0.57909      286.27      358.89     0.87835       475.2      457.51     0.31273      304.13      449.91     0.45513      534.85       460.9    0.024463       334.8      468.11    0.042922      478.03      407.52    0.010471      325.56      411.58    0.014489]"
single_video_bad.mp4,1,35,"[     543.46      217.06     0.99446      582.33      196.59     0.87538      538.45      163.79     0.99776      608.41      180.78    0.017867      495.57      94.447     0.84103      565.53      208.86     0.73991      350.35       147.8     0.93746      643.91      280.49     0.35924      162.07      309.33
     0.86571      544.07      309.22     0.46479      351.37       351.9      0.8615      459.06      457.62     0.31821      297.12      449.34     0.47186      527.05      467.44     0.02473      338.84      473.67    0.046776      455.37      408.52    0.010437      332.89         414     0.01518]"
single_video_bad.mp4,1,41,"[     555.85      211.73     0.99059      591.09      184.62     0.75097      547.82      158.07     0.99655       615.8      165.46    0.010085      500.17      94.091     0.77438      584.59      201.33     0.76053      346.62      144.94     0.93562      642.11       286.6     0.50144      181.23      293.31
     0.88057      533.43      317.08     0.62722      262.85      359.25     0.88363      492.89      458.07     0.36867       320.8       449.6      0.5143      537.53      463.18    0.028357      341.96      473.51    0.048097      484.17      421.42    0.011401      330.83      429.64    0.015456]"
single_video_bad.mp4,1,47,"[     542.01      202.65     0.99626      581.31      184.85     0.93762      536.05      151.07     0.99806      606.14      174.83    0.029622       492.6      85.175     0.84135      565.17       202.9     0.80111      351.03      141.36     0.94454      644.95      279.11     0.46188      173.51       318.5
     0.87462      541.61      307.73     0.55828      361.82      349.51     0.87145      460.83      455.01     0.37508      299.32      446.59     0.50794       531.2      470.14    0.028367       346.5      475.39    0.049141      453.16      415.82    0.010991       336.5      419.15    0.015197]"
single_video_bad.mp4,1,53,"[     543.51       203.5     0.99649       581.4       183.8      0.9234      538.35      150.58     0.99835      604.27      172.92    0.023004       494.4      85.002      0.8403      561.54      202.81     0.78721      350.83      139.63     0.94231      644.14      280.47      0.4478      167.53      311.38
     0.87521      539.56      310.99     0.55153      368.62      350.96     0.87419      461.08      460.15     0.35537      299.76      452.52     0.49265      535.49      467.31    0.026109       341.4      474.36    0.046128      456.22       416.1    0.010374      336.38      421.07    0.014477]"
single_video_bad.mp4,1,59,"[     556.55      211.48     0.99186      592.28      184.56     0.78616      547.64      158.81     0.99701      617.69       164.2     0.01161      500.86      93.841     0.77533      583.88      197.65     0.75118      346.18      146.84     0.93384      642.29      282.81     0.49971      177.08      294.29
     0.88527       532.6      317.33     0.63301      279.38       352.9     0.89194      482.18      453.75     0.38988      311.74      445.28     0.53831      530.26      474.12      0.0285      339.81      481.36    0.048988      474.61      421.36    0.010637      331.44      427.82     0.01455]"
single_video_bad.mp4,2,71,"[     564.38      220.19     0.98095      593.83      194.26     0.49248      561.48      171.54      0.9934       613.9      167.34   0.0065457      512.68      107.37     0.80606      576.49      217.05     0.61653      350.91      160.34     0.92282      622.24       291.8     0.24853      182.93      312.22
     0.84618      542.13      316.99     0.37942      292.45      370.54     0.85302      496.62      458.17     0.17778      332.32      452.36     0.32743      544.76      438.78    0.016018      361.39      452.63    0.033809      488.09      403.09   0.0088662      337.01       415.1    0.013687]"
