video,group,frame,landmarks
single_video_inclass_front.mp4,1,5,"[     233.46      174.49     0.99463      259.33      164.66     0.99408      226.37      162.02      0.9799      313.93       181.9     0.98803      217.26      168.33      0.5209      350.16      246.45     0.96978      157.46      240.89     0.96054       392.1      311.12     0.93644      98.044      322.58
     0.91558      455.24      346.02      0.9307       194.2      379.31     0.92102      301.83       392.1     0.90579      182.09       397.7     0.89308      392.41      439.17     0.47071      237.77      465.88     0.45786      353.81      514.87     0.12377      244.63      518.74     0.11916]"
single_video_inclass_front.mp4,1,11,"[     224.02      178.57     0.99599      250.85      168.12     0.99567      214.38      164.63     0.98771      301.73      182.99     0.98876      201.72      168.36     0.57792      336.34      248.66     0.97116      139.02      242.57     0.96029      377.38      314.45     0.93423      76.889      322.47
      0.9088      444.11       350.3     0.92663       175.1      380.83     0.91369      286.91      394.77     0.90328      167.15         401     0.88875      377.45      439.72     0.46457      225.25      470.68     0.44634      340.26      512.74     0.12223      231.22      516.88     0.11534]"
single_video_inclass_front.mp4,1,17,"[     193.71      178.13     0.99595      220.76      167.02     0.99565      183.14      163.46     0.98789       273.4      181.84      0.9879      170.69      168.64     0.58731      312.17      247.82      0.9698      109.59      241.48     0.96322      354.44      310.96     0.92958      48.889      321.46
     0.91712      414.24         346      0.9211      147.08      380.85     0.91975      261.97      393.03     0.90172      139.59      398.54     0.89094      348.22      436.69     0.46107      196.27       465.4     0.45818      303.78       504.3     0.12844      196.78      506.47     0.12689]"
single_video_inclass_front.mp4,1,23,"[     178.02      171.85     0.99656       205.8       160.6      0.9963      166.28      157.24     0.99096      258.06      176.47     0.98932      152.23      162.23     0.59529      295.46      242.56     0.97024      88.746      237.49     0.95824      335.12      308.27     0.92757      30.022      316.22
     0.89748      395.57      342.63     0.91602      124.94      377.65     0.90085      248.07       393.8      0.8904      121.21      400.13      0.8721      333.16      440.77     0.40336      167.53      470.71     0.38397      288.26      499.75     0.10395      177.87      503.11     0.09787]"
single_video_inclass_front.mp4,1,29,"[      202.7      170.08     0.99721      230.84      157.82     0.99741       187.1      153.62     0.99268      277.09       171.1     0.98892      166.88      156.67     0.69067       304.4      237.52     0.96886      94.313      231.62     0.96028      343.43      305.23     0.91983      26.935      307.85
     0.90349      404.98      340.73     0.90845      126.12      358.77     0.90696      256.81      389.25     0.88302      125.28      396.15     0.86808      340.78      439.38     0.36637      169.14      471.42     0.35776       290.5      486.92    0.092862      165.55      492.44    0.088992]"
single_video_inclass_front.mp4,1,35,"[     237.13      170.73     0.99831      265.26         156     0.99829      215.71      152.18     0.99575      302.74      165.69     0.97716      184.81      154.05     0.78285      323.89      234.56     0.97034      112.05       232.1     0.95845      363.01      302.17     0.91197      38.616      315.03
     0.88892      423.47      337.01     0.90084      170.02      335.99     0.89701      281.04       399.8     0.85903      149.58       405.3     0.83797      352.27      469.81     0.27495      211.33      480.18      0.2628      315.52      486.38    0.062657      196.95         490    0.059075]"
single_video_inclass_front.mp4,1,41,"[     252.49      171.97     0.99697      279.59      154.55     0.99684      225.64      152.83     0.99518      311.79      158.96     0.91168      185.08      152.73     0.84632      323.68      228.46     0.96728      110.72      236.79     0.95702       373.6      294.84     0.89021      90.996      343.78
     0.87975      450.96      338.52     0.87194      248.83      367.93     0.88265      302.36      424.73     0.77346      166.98      437.18      0.7465      378.87      476.95     0.13888      231.07      497.61      0.1381      331.79      452.74     0.03538      242.06      459.86    0.034694]"
single_video_inclass_front.mp4,1,47,"[     286.41      183.08     0.99699      308.88      162.17     0.98506      256.32      164.09     0.99539      329.58      154.55     0.22429      195.07      157.77     0.90256      329.41       221.1     0.96657      119.09       237.1     0.96099      385.61       294.6     0.90003      115.07      353.89
     0.91361      471.51      337.63     0.88753      283.87      395.74     0.91757      323.59      382.49     0.86155      195.26      408.06     0.84895      459.13      398.97     0.36722      254.45      467.52     0.38884      343.76      436.44     0.11838      302.62      440.31     0.12005]"
single_video_inclass_front.mp4,1,53,"[     315.89      188.04     0.99482      333.59      165.69     0.95667      286.03      170.74     0.99305       347.1      152.15    0.070136      212.79      159.45     0.90207      350.31      216.03     0.96596      131.81      231.63     0.95047      406.01      290.73     0.90043      129.67      346.87
     0.89303      484.06      335.58     0.89394      288.55      394.74     0.90924      343.17      380.69     0.84697      212.35      405.58     0.82211      471.98      415.89      0.3224      277.72      470.67     0.32271      370.73      449.49    0.091646      303.22      454.83    0.087803]"
single_video_inclass_front.mp4,1,59,"[      308.8      183.55     0.99582      326.02      160.45     0.96236      278.34       165.7      0.9941       339.2      147.55    0.076105      204.18      153.66     0.90127      351.92      218.83     0.96759      124.64      232.18     0.95056      415.04      296.51     0.90278      132.33      350.35
     0.89226      500.25      350.56      0.8954      297.43      400.03      0.9097      344.85      388.71      0.8442      207.77      412.43     0.81655      478.38      424.13      0.3109      267.13      477.57     0.30957      363.79      449.42    0.088911      303.44      451.64     0.08497]"
single_video_inclass_front.mp4,2,71,"[     332.22      182.48     0.99602      348.67      160.32     0.95127       303.8       163.8     0.99511      360.35      146.57    0.048656      226.67      149.84     0.91569      356.28      221.27     0.96633      130.62      232.97     0.95352       414.5      299.65     0.89764      131.65       356.2
     0.89751      497.42      353.21     0.89309      308.19      408.31     0.91407      343.93      391.95     0.83914      210.14      415.89     0.81559      484.97      425.73     0.31493      282.39      477.87     0.32109      370.52      456.29    0.090798      328.49       454.6    0.088686]"
