video,group,frame,landmarks
video3.mp4,1,5,"[          0           0      288.62      254.75      291.14      458.45     0.93861      306.46      128.45     0.99352      319.27      109.07     0.99643      301.44      111.96     0.82661      359.88      107.98      0.9852      308.12      114.46     0.26315      403.19      204.82     0.96411      329.56
      197.47      0.9732      366.88      357.07     0.92419      291.79      299.46     0.91942       247.5       363.5     0.92152      240.07      315.94     0.90886      391.99      397.45     0.85777      334.12      377.08      0.8758      311.44      481.12      0.3695      237.53      433.72     0.36397
      334.71      468.95    0.092737       273.1      459.76    0.095498]"
video3.mp4,2,11,"[          0           0      287.18      255.04      294.93      459.66     0.94058      305.46      129.17     0.99495      318.37      109.96      0.9962      299.55      113.09     0.86117      359.35      108.12     0.97809      307.49      114.96     0.27518      401.98      205.86     0.96394      327.89
      195.12     0.97397      365.19      358.16     0.92881      291.12      299.29      0.9269      244.48      367.62     0.92754      238.57       317.2     0.91795      392.17       396.4     0.87437      333.76      376.22     0.89209      317.34      477.64     0.40213      238.95      430.78     0.39904
      338.51      476.96    0.097281      277.12      463.77     0.10053]"
video3.mp4,3,17,"[          0           0      284.14      255.17      297.41      459.18     0.94371      302.16       130.5      0.9945      314.77      110.82     0.99616      297.08      114.21     0.81032      356.23      109.93     0.98126      306.88      117.37     0.26502      399.73      206.38     0.96322      324.78
      198.76     0.97327      363.22      358.41     0.92927      289.71      300.59     0.92615      241.96      368.42     0.92905      236.56      318.06     0.91847      389.48      397.43      0.8699      330.07       378.1     0.88771      313.72      477.97     0.38664      234.33      431.35     0.38204
      333.99      477.77    0.092011      271.73      463.64    0.094644]"
video3.mp4,4,23,"[          0           0      284.85       255.7      294.94      456.79     0.94295      301.53      131.42     0.99059      312.98      111.86      0.9956      297.38       115.7      0.6708      354.81      109.75     0.98652      308.05      118.26     0.23295      400.43      205.14     0.96183      325.15
      200.19     0.97143      364.41      357.39     0.92522      289.28      301.44     0.91903      241.45      366.91     0.92435      235.45      318.97     0.91081      389.69       397.5     0.85222      330.36      378.34     0.87079      309.44      481.76     0.35215      232.97       434.6     0.34578
       332.2      469.98    0.086145      268.42      460.58    0.088522]"
video3.mp4,5,29,"[          0           0      285.81      255.49      295.52      458.62     0.94211       302.1       131.5     0.99372      314.13      111.71     0.99576      296.93      115.49     0.77669      355.99      109.67     0.98121       307.8      118.14     0.25675       400.9      205.93     0.96268      325.28
      199.06     0.97299      364.47      358.11     0.92959      290.12      300.41     0.92662       242.7      368.95     0.92984      237.17       319.8     0.91945      391.17      396.59     0.86949      331.46      377.86     0.88765       315.8      478.44     0.38144      236.07      434.94     0.37734
      337.99      477.62    0.089816      274.27       463.2    0.092389]"
video3.mp4,6,35,"[          0           0      286.57      255.16      293.89       457.4     0.94047      302.61      129.13       0.992      315.13      109.12     0.99607      298.49      112.19      0.7438      356.65      109.28     0.98757      308.31       115.5     0.24337      402.06      205.92     0.96282      326.42
      196.78     0.97211      365.51       358.4     0.92475      289.29      300.02     0.91892      243.52      366.21     0.92291      235.28      318.23      0.9095      390.59       398.2     0.85306      331.17      377.84      0.8716      313.56      480.87     0.35427      234.59      434.16     0.34851
      336.86      469.62    0.087114      272.09      459.79     0.08965]"
video3.mp4,7,41,"[          0           0      287.48      255.43       293.6      457.47     0.93947      300.66      124.52     0.99118      314.03      105.64     0.99586      297.92      108.78     0.68241       356.5      110.01     0.98793       310.1      115.45      0.2344      402.55       205.4      0.9627      327.06
      196.42     0.97186      366.61      357.81     0.92561      289.18      298.86      0.9187      243.73      365.83     0.92376      236.72       317.9     0.90934      391.66      398.01     0.85482       332.6      377.31     0.87281       314.8      481.31     0.35858      235.66      432.93     0.35206
      339.05      468.65    0.088537      274.01      459.31    0.091122]"
video3.mp4,8,47,"[          0           0      287.85         255       294.1      458.12     0.93932      300.58      124.75     0.99151      314.27      106.44     0.99593      297.88       109.1     0.70849      356.63      111.51     0.98797      309.55      115.52     0.23456      403.01      205.22     0.96264      326.87
      197.42     0.97194      367.33      357.33     0.92579      288.88      298.75     0.91932      243.96      365.64     0.92426      238.04      318.06     0.91032      392.41      397.51     0.85532      333.01      377.14     0.87349      314.87      481.16      0.3597      235.46      433.45     0.35342
      337.97      469.33    0.088408      274.18      459.92    0.090996]"
video3.mp4,9,53,"[          0           0      288.13      254.37      295.28      459.18     0.93831      301.62      123.76      0.9921      315.67      105.15     0.99605      298.56      107.56     0.74731      358.09      109.72     0.98724      308.91      113.19     0.24259      404.36      204.98     0.96366      327.58
      194.24     0.97262      368.47      358.53     0.92559      289.75      297.18     0.91943      244.29      365.11     0.92314      239.07       316.9     0.90927      392.78      397.78     0.85698      332.85      376.44     0.87494      314.98      481.11     0.36214      235.66      433.39     0.35607
      338.13      469.54     0.08887      273.52      459.94    0.091495]"
video3.mp4,10,59,"[          0           0      289.34      254.19      296.28      459.81     0.93876      301.94      123.44     0.99175      315.71      104.13     0.99586      299.11      106.99      0.7072      358.61      108.26     0.98718      310.56       113.1     0.23648      406.31      204.63     0.96289       329.6
      197.78     0.97242      370.43      359.48     0.92476      290.85      297.86     0.91959      245.82      365.26     0.92408      239.75      316.23     0.91121      393.92      397.59     0.85297      334.33      377.45     0.87214      317.44      480.63     0.35662      237.52      434.59     0.35177
      341.03      470.06     0.08738      274.01      459.51    0.090201]"
